Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,South Andaman,Port Blair,1430055,6598,276,455,1895,1766,109,373,880,844,511,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",264971,7585133058,bbgbpant@gmail.com,Government,YES,24x7
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,South Andaman,Port Blair,3719710,10085,1851,1265,981,119,1699,1469,947,1754,444,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",509579,6300198540,,Government,NO,24x7
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,South Andaman,Port Blair,753207,8593,1358,223,1868,1238,709,2000,166,1031,2489,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",347702,7173201391,pillarbloodbank2016@gmail.com,Private,NO,24x7
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,Anantapur,Anantapur,1073438,6927,565,1168,465,1593,1677,1048,44,367,3137,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",294978,8232530870,NA,Charity,YES,24x7
5,Government General Hospital Blood Bank,Andhra Pradesh,Anantapur,Ananthapur,603837,10320,985,1604,1801,1879,1038,475,1390,1148,4800,"Government General Hospital, Ananthapur",368062,6791615514,bloodbankgghatp@gmail.com,Government,YES,24x7
6,Indian Red Cross Society,Andhra Pradesh,Anantapur,Ananthapur,1092450,7760,1945,106,545,1799,406,1029,1091,839,3421,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",388373,7592264606,ircsbloodbank.anantapur@gmail.com,Charity,YES,24x7
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,Anantapur,Bathalapalli,1016441,7237,721,845,1198,1886,187,497,1365,538,1075,"Kadiri Road, Bathalapalli, Ananthapur",373811,7476317495,NA,Private,YES,12x7
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,Anantapur,Guntakal,745435,8224,1818,761,991,1621,234,1338,1310,151,2474,"S.C. Railway Hospital, Guntakal, Ananthapuramu",358689,7320831599,NA,Government,NO,24x7
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,Anantapur,Hindupur,5104047,5351,663,382,1576,1679,606,100,235,110,4292,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",486936,8884845035,ircshup@gmail.com,Charity,NO,24x7
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,Anantapur,Kadiri,625138,6215,293,172,152,1493,1962,1309,172,662,1429,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",293629,9958188126,kadiriircs@gmail.com,Government,NO,24x7
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,Anantapur,Puttaparthy,707035,8069,1929,177,904,1160,49,1237,1891,722,2958,"Prasanthigram, Puttaparthy, Ananthapuramu",220236,6230685287,saikiran_ptp@yahoo.co.in,Government,YES,24x7
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,Chittoor,Chittoor,1599914,6844,1081,435,117,376,1933,1161,1654,87,1835,"Head Quarters  Hospital Compound, Chittoor",233203,9425363983,bloodbankctr1@gmail.com,Government,YES,24x7
13,Indian Red Cross Society,Andhra Pradesh,Chittoor,Chittoor,762243,9660,1699,1060,818,925,1761,1816,487,1094,2178,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",236486,8307532149,indian red cross society indian red corss society ,Charity,YES,24x7
14,M/s IRCS Blood Bank.,Andhra Pradesh,Chittoor,Chittoor,609617,7977,864,921,1695,1726,461,1474,589,247,1764,"D.No. 20 - 119, Prakasam High Road, Chittor",243548,8157135540,ircschittoor@gmail.com,Charity,NO,24x7
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,Chittoor,Kuppam,960787,9912,1998,1101,1617,1183,1309,615,1658,431,1656,"PES Institute of medical sciences premises, Kuppam
",506957,6406872495,pathpesimsr@gmail.com,Private,YES,12x7
16,Blood Bank AH Madanapalli,Andhra Pradesh,Chittoor,Madanapalli,4328063,5633,304,650,651,641,126,1527,662,1072,4141," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",296927,6865413539,  ircsbbmpl2009@gmail.com,Government,YES,24x7
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,Chittoor,Madnapalli,604696,7054,235,323,1155,1940,537,646,791,1427,1615,"Area Hospital, Patel Road, Madanapalli.
",393912,8056826760, ircsbbmpl2009@gmail.com,Government,NO,24x7
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,Chittoor,Tirumala,959823,10568,630,1489,1070,1375,1607,1413,1525,1459,3204,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",453535,6731044842,suresh.bandapalli@gmail.com,Private,NO,24x7
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,Chittoor,Tirupati,10927986,7823,334,1171,1419,1633,605,1668,515,478,2328,"S.V.R.R. Government General Hospital, Tirupati
",252280,9247849932,modelbloodbanktpt2010@gmail.com,Charity,YES,24x7
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,Chittoor,Tirupati,1193000,8841,1717,1012,324,1139,1497,232,1699,1221,3716,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",494389,7688033566,svimshosp ,Government,YES,24x7
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,Chittoor,Tirupati,1220229,6330,944,1203,692,526,699,1919,175,172,288,"Ruia Hospital Road, Tirupati",261039,6708383108,supdtgmhtirupati@yahoo.com,Charity,YES,24x7
22, TTD Central Hospital Blood Bank,Andhra Pradesh,Chittoor,Tirupati,1199191,10326,1096,1553,89,979,1805,1817,1309,1678,4600,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",441699,8614225470,ttdcentralhospital@gmail.com,Private,YES,12x7
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,Chittoor,Tirupati,1324570,10248,194,542,1819,1799,1625,509,1825,1935,1288,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",317033,8398630189,svsctbloodbank@gmail.com,Government,NO,24x7
24,Government Hospital,Andhra Pradesh,East Godavari,Amalapuram,674246,6848,663,368,549,1477,1262,1068,79,1382,4366,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",374364,8215622806,bloodbankahamp@gmail.com,Charity,NO,24x7
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,East Godavari,Amalapuram,899094,4569,629,1707,1760,105,49,182,92,45,3233,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",376290,7961393013,Principal07kims@yahoo.co.in,Government,NO,24x7
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,East Godavari,Amalapuram,882458,11174,1519,1979,1606,1112,1900,1898,646,514,1933,"Ground Floor Area Hospital, Amalapuram",448737,6683482292,NA,Government,YES,24x7
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,East Godavari,Kakinada,1027672,9056,563,618,1138,1336,1818,1169,420,1994,4265,"Government General Premises, Ground Floor, Kakinada",292969,8457424579,bloodbankgghkkd@gmail.com,Government,YES,24x7
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,East Godavari,Kakinada,840214,7872,1219,481,1941,1209,572,95,1123,1232,3656,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",352933,7396269352,nraopydah@yahoo.co.in,Charity,YES,24x7
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,East Godavari,Kakinada,3597816,8670,1012,1723,732,986,923,357,1487,1450,3082,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",339623,6949702790,NA,Charity,NO,24x7
30,District Headquarters Hospital,Andhra Pradesh,East Godavari,Rajahmundry,1837041,6882,503,765,80,1808,533,882,932,1379,4225,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",213486,7909046874,govtbloodbank.rjy@gmail.com,Private,YES,12x7
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,East Godavari,Rajahmundry,1030168,7634,1809,1519,175,280,1147,434,1012,1258,1948,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",267449,9068834236,,Government,YES,24x7
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,East Godavari,Rajahmundry,2711758,8399,759,1874,1636,89,1234,937,1479,391,600,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",227254,9837249150,NA,Government,NO,24x7
